,name,year,selling_price,km_driven
0,Maruti Swift Dzire VDI,2014,450000,145500
214,Maruti Swift Dzire VDI,2018,700000,50000
245,Maruti Swift Dzire VDI,2013,550000,70000
248,Maruti Swift Dzire VDI,2014,500000,120000
260,Maruti Swift Dzire VDI,2012,360000,158000
303,Maruti Swift Dzire VDI,2017,650000,25000
366,Maruti Swift Dzire VDI,2016,550000,60000
392,Maruti Swift Dzire VDI,2015,480000,90000
438,Maruti Swift Dzire VDI,2013,530000,120000
469,Maruti Swift Dzire VDI,2016,600000,147000
498,Maruti Swift Dzire VDI,2019,700000,30000
509,Maruti Swift Dzire VDI,2016,561000,30000
510,Maruti Swift Dzire VDI,2018,755000,15000
630,Maruti Swift Dzire VDI,2014,420000,80000
698,Maruti Swift Dzire VDI,2017,680000,40000
848,Maruti Swift Dzire VDI,2017,620000,107000
854,Maruti Swift Dzire VDI,2017,625000,43000
946,Maruti Swift Dzire VDI,2012,415000,108000
987,Maruti Swift Dzire VDI,2018,811000,100000
1035,Maruti Swift Dzire VDI,2019,757000,25000
1204,Maruti Swift Dzire VDI,2017,711000,35000
1278,Maruti Swift Dzire VDI,2014,450000,80000
1301,Maruti Swift Dzire VDI,2014,509999,110000
1303,Maruti Swift Dzire VDI,2014,511000,100000
1306,Maruti Swift Dzire VDI,2013,450000,120000
1329,Maruti Swift Dzire VDI,2016,649000,70000
1418,Maruti Swift Dzire VDI,2015,500000,120000
1459,Maruti Swift Dzire VDI,2016,525000,40000
1481,Maruti Swift Dzire VDI,2016,600000,80000
1503,Maruti Swift Dzire VDI,2018,650000,35500
1537,Maruti Swift Dzire VDI,2014,650000,50000
1539,Maruti Swift Dzire VDI,2017,650000,20000
1647,Maruti Swift Dzire VDI,2015,470000,110000
1668,Maruti Swift Dzire VDI,2015,480000,30000
1670,Maruti Swift Dzire VDI,2013,480000,80000
1749,Maruti Swift Dzire VDI,2017,605000,127000
1772,Maruti Swift Dzire VDI,2013,520000,58000
1884,Maruti Swift Dzire VDI,2015,600000,60000
1903,Maruti Swift Dzire VDI,2016,660000,55000
1934,Maruti Swift Dzire VDI,2017,700000,50000
2050,Maruti Swift Dzire VDI,2013,550000,100000
2052,Maruti Swift Dzire VDI,2019,750000,24000
2353,Maruti Swift Dzire VDI,2018,680000,70000
2390,Maruti Swift Dzire VDI,2013,525000,110000
2516,Maruti Swift Dzire VDI,2017,650000,75000
2519,Maruti Swift Dzire VDI,2015,520000,70000
2520,Maruti Swift Dzire VDI,2015,610000,60000
2575,Maruti Swift Dzire VDI,2017,651000,32500
2689,Maruti Swift Dzire VDI,2014,490000,50000
2692,Maruti Swift Dzire VDI,2018,680000,120000
2745,Maruti Swift Dzire VDI,2017,570000,120000
2816,Maruti Swift Dzire VDI,2017,635000,40000
2844,Maruti Swift Dzire VDI,2013,480000,105000
3000,Maruti Swift Dzire VDI,2014,409999,150000
3006,Maruti Swift Dzire VDI,2014,500000,84000
3505,Maruti Swift Dzire VDI,2018,700000,100000
3574,Maruti Swift Dzire VDI,2013,420000,105000
3722,Maruti Swift Dzire VDI,2016,650000,50000
3767,Maruti Swift Dzire VDI,2013,470000,82000
3808,Maruti Swift Dzire VDI,2016,550000,60000
3816,Maruti Swift Dzire VDI,2017,699000,60000
3963,Maruti Swift Dzire VDI,2013,415000,102996
4096,Maruti Swift Dzire VDI,2013,530000,40000
4312,Maruti Swift Dzire VDI,2015,625000,50000
4451,Maruti Swift Dzire VDI,2013,550000,56000
4465,Maruti Swift Dzire VDI,2018,800000,35000
4506,Maruti Swift Dzire VDI,2014,438999,81000
4521,Maruti Swift Dzire VDI,2013,480000,80000
4590,Maruti Swift Dzire VDI,2015,550000,50000
4594,Maruti Swift Dzire VDI,2015,550000,110000
4613,Maruti Swift Dzire VDI,2016,550000,76000
4620,Maruti Swift Dzire VDI,2019,694000,35000
4632,Maruti Swift Dzire VDI,2014,450000,70000
4748,Maruti Swift Dzire VDI,2019,700000,30000
4871,Maruti Swift Dzire VDI,2014,580000,120000
4884,Maruti Swift Dzire VDI,2018,750000,25000
4890,Maruti Swift Dzire VDI,2014,600000,70000
4983,Maruti Swift Dzire VDI,2019,675000,25000
5109,Maruti Swift Dzire VDI,2017,625000,34000
5118,Maruti Swift Dzire VDI,2013,430000,63000
5127,Maruti Swift Dzire VDI,2017,620000,61000
5137,Maruti Swift Dzire VDI,2018,700000,45000
5146,Maruti Swift Dzire VDI,2017,605000,127000
5161,Maruti Swift Dzire VDI,2014,500000,60000
5292,Maruti Swift Dzire VDI,2019,754000,10000
5295,Maruti Swift Dzire VDI,2018,725000,15000
5382,Maruti Swift Dzire VDI,2016,631000,75000
5390,Maruti Swift Dzire VDI,2014,530000,80000
5455,Maruti Swift Dzire VDI,2016,675000,120000
5468,Maruti Swift Dzire VDI,2017,745000,35000
5479,Maruti Swift Dzire VDI,2017,669000,60000
5554,Maruti Swift Dzire VDI,2015,600000,100000
5569,Maruti Swift Dzire VDI,2017,740000,40000
5692,Maruti Swift Dzire VDI,2015,440000,110000
5719,Maruti Swift Dzire VDI,2013,409999,100000
5741,Maruti Swift Dzire VDI,2014,465000,120000
5907,Maruti Swift Dzire VDI,2014,470000,60000
5940,Maruti Swift Dzire VDI,2017,755000,20000
6053,Maruti Swift Dzire VDI,2014,434999,110000
6080,Maruti Swift Dzire VDI,2018,700000,50000
6094,Maruti Swift Dzire VDI,2015,615000,60000
6121,Maruti Swift Dzire VDI,2017,605000,127000
6124,Maruti Swift Dzire VDI,2015,520000,70000
6192,Maruti Swift Dzire VDI,2013,525000,116000
6242,Maruti Swift Dzire VDI,2017,700000,65000
6293,Maruti Swift Dzire VDI,2017,625000,70000
6300,Maruti Swift Dzire VDI,2017,650000,70000
6424,Maruti Swift Dzire VDI,2013,395000,70000
6445,Maruti Swift Dzire VDI,2014,465000,90000
6462,Maruti Swift Dzire VDI,2013,360000,70000
6777,Maruti Swift Dzire VDI,2015,600000,135000
6851,Maruti Swift Dzire VDI,2018,720000,25000
6879,Maruti Swift Dzire VDI,2013,390000,100000
6913,Maruti Swift Dzire VDI,2013,530000,40000
6943,Maruti Swift Dzire VDI,2014,580000,88000
6978,Maruti Swift Dzire VDI,2014,420000,120000
7110,Maruti Swift Dzire VDI,2014,445000,80000
7111,Maruti Swift Dzire VDI,2014,459999,70000
7221,Maruti Swift Dzire VDI,2016,600000,147000
7238,Maruti Swift Dzire VDI,2013,420000,105000
7285,Maruti Swift Dzire VDI,2014,434999,70195
7501,Maruti Swift Dzire VDI,2013,470000,150000
7602,Maruti Swift Dzire VDI,2018,765000,59000
7603,Maruti Swift Dzire VDI,2019,770000,27000
7608,Maruti Swift Dzire VDI,2019,800000,35700
7673,Maruti Swift Dzire VDI,2017,750000,30000
7878,Maruti Swift Dzire VDI,2012,370000,68000
7890,Maruti Swift Dzire VDI,2015,600000,50000
8117,Maruti Swift Dzire VDI,2015,625000,50000
